userId,characterName,cardCode,cardEffort,recoveryDate
191412938492477440.00000,Flareon,qcz18s,115,
,Goro Akechi,vlmwgs,113,
204774279190020096.00000,Felt,q9zn08,111,
,Mitsuri Kanroji,qzxg2c,111,
722948217624461312.00000,Zen,q3kjph,110,
121671514410975232.00000,Akira Mitsurugi,hcc06l,110,
121671514410975232.00000,Igneel,0s42gv,110,
130401447052443648.00000,Ichiban Kasuga,q9z6sv,110,
191412938492477440.00000,Erimi Mushibami,0sdffm,108,
452129115575943168.00000,Yoshiko Tsushima,q1rfts,108,
191412938492477440.00000,Hange Zoe,h3ttl2,106,
146321803797725184.00000,Sephiroth,hm54rm,106,
121671514410975232.00000,The World,h4mf85,105,
121671514410975232.00000,Kota Izumi,q93tlz,105,
452129115575943168.00000,Yona,0vckth,105,
,Fox,qqtjfr,105,
371042880078348160.00000,Yoshinobu Gakuganji,qttxh2,105,
192137381627822080.00000,Hirotaka Nifuji,qtwq2v,105,
121671514410975232.00000,King,qqb2kg,104,
191412938492477440.00000,AA-2153,q4jqw1,103,
334170191074295808.00000,Armin Arlert,qg59px,101,
321284717427294208.00000,Cynthia,q8prhm,101,
121671514410975232.00000,Rachel,qtdz1k,100,
130401447052443648.00000,Fitoria,qx305x,100,
371042880078348160.00000,Dark Shadow,qt0d71,100,
191412938492477440.00000,Kyoujurou Rengoku,hzfp5d,100,
,Leone Abbacchio,qt8bfc,99,
,Shouto Todoroki,0rk5jd,99,
146321803797725184.00000,Yoosung Kim,q4ch08,99,
371042880078348160.00000,Rio Kamichika,qlxrwj,98,
130401447052443648.00000,Kimiko Sagimori,h2dmk9,98,
130401447052443648.00000,Edward Newgate,qfsh0p,96,
121671514410975232.00000,Mephisto Pheles,0dhh1q,96,
130401447052443648.00000,Baymax,qrp070,95,
316247478405955584.00000,Komugi,q86348,95,
130401447052443648.00000,Mimikyu,q32175,95,
452129115575943168.00000,Mikan Tsumiki,vst1nf,95,
,Himiko Yumeno,qwgz38,94,
371042880078348160.00000,Mari Ohara,q861zx,94,
121671514410975232.00000,Nona,hzb7jx,94,
146321803797725184.00000,Elsa Granhiert,qd8b70,94,
452129115575943168.00000,Shigeo Kageyama,vxpnfx,94,
121671514410975232.00000,Flayn,qhfm2l,93,
121671514410975232.00000,Tieria,h0m2p1,93,
130401447052443648.00000,Cattleya Baudelaire,qxv1sf,91,
644919947004215296.00000,Meliodas,qhxxlq,91,
,Roy Mustang,04kw4s,91,
722948217624461312.00000,L,qm6792,91,
130401447052443648.00000,Sistine Fibel,qc6x0g,91,
130401447052443648.00000,Nagito Komaeda,qfkr9f,91,
146321803797725184.00000,Shingo's EG6 Civic,q3bzzz,91,
191412938492477440.00000,Scottish Fold Bananya,0s1r1l,91,
121671514410975232.00000,Sabito,hh6w7d,91,1619522581.71700
130401447052443648.00000,Ran,q1dnc8,90,
130401447052443648.00000,Tatsuya Shiba,h53zq7,89,
,Shoyo Hinata,qz3tvl,89,
121671514410975232.00000,Osamu Miya,vh0mz7,89,
,Yu Narukami,q9hffg,89,
121671514410975232.00000,Stand Arrow,qvttlv,88,
204774279190020096.00000,Zenitsu Agatsuma,0ndt8v,88,
191412938492477440.00000,Illyasviel von Einzbern,q1v67l,88,
191412938492477440.00000,Nea Walker,q758r1,88,
121671514410975232.00000,Phil,vnfspd,88,
,Ken Kaneki,q1tl40,88,
321284717427294208.00000,Saya Takagi,qftmjd,88,
521334771813449664.00000,Osamu Dazai,0st754,88,
,Koutarou Bokuto,f4v5,88,
89475384986312704.00000,Tomura Shigaraki,qlszzp,86,
,Arthur Boyle,qztffm,86,
121671514410975232.00000,Violet Evergarden,q5k2cv,86,
121671514410975232.00000,Iskandar,q05nlv,86,
452129115575943168.00000,Kiyoko Shimizu,0l6cg3,86,
121671514410975232.00000,Noriaki Kakyoin,0hbjh3,86,
130401447052443648.00000,Index,qzlv7h,86,
707483431692402688.00000,Yu Nishinoya,0h1glr,85,
,Sasuke Uchiha,0qrl3j,85,
,Akeno Himejima,q1s3tt,85,
321284717427294208.00000,Nemu Aohitsugi,q4chq4,85,
318988466966757376.00000,Panther,q4jxbw,85,
130401447052443648.00000,Nami,q4fxvj,85,
146321803797725184.00000,Tifa Lockhart,hnwjjt,85,
722948217624461312.00000,Saitama,qpb9v2,85,
588990868988362752.00000,Gazel Dwargo,qtbbm4,85,
191412938492477440.00000,Howl,hgpps4,85,
,Subaru Natsuki,0gp3vx,84,
,Gon Freecss,qbr5s1,84,
,Violet Evergarden,qnxz8w,84,
,Asuka Langley Soryu,v9qplw,84,
321284717427294208.00000,Uruha Rushia,h054s0,83,
191412938492477440.00000,Gyoumei Himejima,d03sb,83,
,Kirumi Tojo,0s5jkm,83,
,Cart Titan,q1bv25,83,
191412938492477440.00000,Frog,hhff3m,83,
,Chitoge Kirisaki,0kkn3s,83,
,Shouko Nishimiya,q1367c,83,
191412938492477440.00000,Hajime Iwaizumi,qd2bcr,81,
321284717427294208.00000,Elizabeth (Savage Tribe),qrv6nr,81,
452129115575943168.00000,Chongyun,02nxqh,81,
,Xiao,q4mww1,81,
191412938492477440.00000,Sailor Uranus,h17097,81,
371042880078348160.00000,Reiner Braun,00zbwh,81,
121671514410975232.00000,Gilbert G.P. Guilford,q6z9vs,81,
146321803797725184.00000,Hung,q1jj3b,81,
,Hisoka,qpbchx,81,
,Paimon,qhwpnz,81,
121671514410975232.00000,Sebastian Michaelis,qb9m1b,81,
130401447052443648.00000,Kurumi Tokisaki,qj2grx,80,
,Leorio Paladiknight,q1f1d7,80,
121671514410975232.00000,Anastasia Hoshin,q1nd37,80,
,Pakkun,q06621,80,
,Naruto Uzumaki,qpms18,80,
146321803797725184.00000,Kisara Himeno,qnd2d3,80,
323915919887958016.00000,Jean Pierre Polnareff,06w8n7,80,
